step 1010/9201 (11.0%) | loss 1.9245 | lr 1.98e-04 | ETA 467.2min
step 1020/9201 (11.1%) | loss 1.9022 | lr 1.98e-04 | ETA 473.9min
step 1030/9201 (11.2%) | loss 1.9302 | lr 1.98e-04 | ETA 470.4min
step 1040/9201 (11.3%) | loss 2.0239 | lr 1.98e-04 | ETA 472.1min
step 1050/9201 (11.4%) | loss 1.8925 | lr 1.98e-04 | ETA 467.9min
step 1060/9201 (11.5%) | loss 1.8802 | lr 1.98e-04 | ETA 462.8min
step 1070/9201 (11.6%) | loss 1.9206 | lr 1.98e-04 | ETA 460.0min
step 1080/9201 (11.7%) | loss 1.8659 | lr 1.98e-04 | ETA 458.6min
step 1090/9201 (11.8%) | loss 1.9653 | lr 1.97e-04 | ETA 461.8min
step 1100/9201 (12.0%) | loss 1.7996 | lr 1.97e-04 | ETA 464.2min
step 1110/9201 (12.1%) | loss 1.7771 | lr 1.97e-04 | ETA 468.6min
step 1120/9201 (12.2%) | loss 1.7724 | lr 1.97e-04 | ETA 466.3min
step 1130/9201 (12.3%) | loss 1.8308 | lr 1.97e-04 | ETA 460.9min
step 1140/9201 (12.4%) | loss 1.9832 | lr 1.97e-04 | ETA 459.6min
step 1150/9201 (12.5%) | loss 1.8426 | lr 1.97e-04 | ETA 459.2min
step 1160/9201 (12.6%) | loss 1.9492 | lr 1.97e-04 | ETA 457.8min
step 1170/9201 (12.7%) | loss 1.8656 | lr 1.97e-04 | ETA 462.4min
step 1180/9201 (12.8%) | loss 1.8876 | lr 1.97e-04 | ETA 464.0min
step 1190/9201 (12.9%) | loss 1.9785 | lr 1.97e-04 | ETA 461.6min
step 1200/9201 (13.0%) | loss 1.9496 | lr 1.96e-04 | ETA 456.7min
step 1210/9201 (13.2%) | loss 1.8484 | lr 1.96e-04 | ETA 455.3min
step 1220/9201 (13.3%) | loss 1.9657 | lr 1.96e-04 | ETA 454.7min
step 1230/9201 (13.4%) | loss 1.9739 | lr 1.96e-04 | ETA 450.8min
step 1240/9201 (13.5%) | loss 2.0394 | lr 1.96e-04 | ETA 455.8min
step 1250/9201 (13.6%) | loss 1.8023 | lr 1.96e-04 | ETA 458.5min
step 1260/9201 (13.7%) | loss 1.8892 | lr 1.96e-04 | ETA 456.8min
step 1270/9201 (13.8%) | loss 1.9782 | lr 1.96e-04 | ETA 454.1min
step 1280/9201 (13.9%) | loss 1.8223 | lr 1.96e-04 | ETA 447.7min
step 1290/9201 (14.0%) | loss 1.9006 | lr 1.96e-04 | ETA 452.3min
step 1300/9201 (14.1%) | loss 1.8522 | lr 1.95e-04 | ETA 449.7min
step 1310/9201 (14.2%) | loss 2.0036 | lr 1.95e-04 | ETA 451.9min
step 1320/9201 (14.3%) | loss 1.9357 | lr 1.95e-04 | ETA 451.1min
step 1330/9201 (14.5%) | loss 1.8906 | lr 1.95e-04 | ETA 447.8min
step 1340/9201 (14.6%) | loss 1.9664 | lr 1.95e-04 | ETA 447.4min
step 1350/9201 (14.7%) | loss 1.9942 | lr 1.95e-04 | ETA 444.8min
step 1360/9201 (14.8%) | loss 2.0421 | lr 1.95e-04 | ETA 447.3min
step 1370/9201 (14.9%) | loss 2.1949 | lr 1.95e-04 | ETA 445.7min
step 1380/9201 (15.0%) | loss 1.8888 | lr 1.95e-04 | ETA 444.9min
step 1390/9201 (15.1%) | loss 1.9140 | lr 1.94e-04 | ETA 449.5min
step 1400/9201 (15.2%) | loss 1.9594 | lr 1.94e-04 | ETA 450.9min
step 1410/9201 (15.3%) | loss 1.9505 | lr 1.94e-04 | ETA 448.9min
step 1420/9201 (15.4%) | loss 1.8847 | lr 1.94e-04 | ETA 446.1min
step 1430/9201 (15.5%) | loss 1.7587 | lr 1.94e-04 | ETA 442.3min
step 1440/9201 (15.7%) | loss 1.8397 | lr 1.94e-04 | ETA 442.2min
step 1450/9201 (15.8%) | loss 1.9300 | lr 1.94e-04 | ETA 443.8min
step 1460/9201 (15.9%) | loss 1.9412 | lr 1.94e-04 | ETA 446.4min
step 1470/9201 (16.0%) | loss 1.8497 | lr 1.93e-04 | ETA 448.3min
step 1480/9201 (16.1%) | loss 2.0029 | lr 1.93e-04 | ETA 440.5min
step 1490/9201 (16.2%) | loss 1.9028 | lr 1.93e-04 | ETA 439.7min
step 1500/9201 (16.3%) | loss 1.8751 | lr 1.93e-04 | ETA 438.6min
step 1510/9201 (16.4%) | loss 2.0173 | lr 1.93e-04 | ETA 437.9min
step 1520/9201 (16.5%) | loss 1.9235 | lr 1.93e-04 | ETA 437.6min
step 1530/9201 (16.6%) | loss 1.8306 | lr 1.93e-04 | ETA 433.8min
step 1540/9201 (16.7%) | loss 1.9136 | lr 1.93e-04 | ETA 443.2min
step 1550/9201 (16.8%) | loss 1.9858 | lr 1.92e-04 | ETA 440.8min
step 1560/9201 (17.0%) | loss 1.9776 | lr 1.92e-04 | ETA 442.5min
step 1570/9201 (17.1%) | loss 1.9976 | lr 1.92e-04 | ETA 436.3min
step 1580/9201 (17.2%) | loss 2.0569 | lr 1.92e-04 | ETA 434.5min
step 1590/9201 (17.3%) | loss 1.9447 | lr 1.92e-04 | ETA 434.3min
step 1600/9201 (17.4%) | loss 1.8779 | lr 1.92e-04 | ETA 436.6min
step 1610/9201 (17.5%) | loss 1.9468 | lr 1.92e-04 | ETA 439.1min
step 1620/9201 (17.6%) | loss 2.0112 | lr 1.91e-04 | ETA 434.9min
